Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code,Cuisine
ZRwOZWmQtGzRyORM8gZ-GQ,Masala Express,369 Broadway,"{'latitude': 40.6596514, 'longitude': -74.12213490220537}",11,5.0,07002,indian
Nt7vyXyaxnyXpP4NNgrSvw,Joy Indian Restaurant,301 Flatbush Ave,"{'latitude': 40.67883, 'longitude': -73.9734299}",696,4.0,11217,indian
GcBZDgOKOP-RkH_mI-DS9A,The Halal Guys,307 E 14th St,"{'latitude': 40.7323060751209, 'longitude': -73.9843906361069}",841,3.5,10003,indian
Y6Q4uhE-GsP2iykSW9oJPw,Rudra Indian Bistro,561 Cedar Ln,"{'latitude': 40.89044, 'longitude': -74.02528}",88,4.5,07666,indian
w2oSwwvOf-DBnEUumq_TIA,The Buffet,20-07 127th St,"{'latitude': 40.781505, 'longitude': -73.8408955}",954,3.5,11356,indian
Q3q5ODGrzCGjTUKaFEWJkw,New Green Leaf,651 Manhattan Ave,"{'latitude': 40.7242889, 'longitude': -73.9514008}",5,1.5,11222,indian
MP8Ey2ezsDCSowR-1X6hKg,Dosa Royale,258 Dekalb Ave,"{'latitude': 40.689244, 'longitude': -73.968634}",276,3.5,11205,indian
ugEZc_Cc4tu71j-yuj9HCQ,Chawlas 2,131-19 Rockaway Blvd,"{'latitude': 40.67507, 'longitude': -73.8066}",117,4.0,11420,indian
Wb74_oMBX27DahivEf0yFQ,71 NY Halal Food,135 E 53rd St,"{'latitude': 40.75836295363395, 'longitude': -73.97056367269371}",1,5.0,10022,indian
dDBTvszDl1y_hI8SHBVhYg,Desi Indo-Chinese,None,"{'latitude': 40.7917327597504, 'longitude': -73.9439579881447}",5,2.5,10029,indian
0Z6VTfFsesUSrN5kkVJ5Zw,Flames Indian Aroma,165 East 106th St,"{'latitude': 40.79197, 'longitude': -73.94522}",16,4.0,10029,indian
IcEafi60F4pyEHaM4lR4Wg,Ali's Roti Shop,4220 White Plains Rd,"{'latitude': 40.894, 'longitude': -73.85684}",105,4.0,10466,indian
_dduF0x_H5RyUgQzXsb0bw,Eternity,120-35 83rd Ave,"{'latitude': 40.7086799, 'longitude': -73.8311911}",48,4.5,11415,indian
oSMFe-10TyH40NIXG0Zahw,Vaibhav Indian Spice Journey,737 Newark Ave,"{'latitude': 40.73503, 'longitude': -74.0624069}",429,3.5,07306,indian
smOk6VlCt7_m4XmnKgZB6g,Fluffies Hot Chicken & Frankie Rolls,252 S Summit Ave,"{'latitude': 40.876171, 'longitude': -74.0645503}",49,4.5,07601,indian
Ih9Zh1eRwPowzufbGVXfoA,Green Bean Cafe,1413 York Ave,"{'latitude': 40.76914988318571, 'longitude': -73.95235797703822}",155,4.0,10301,indian
I8X2NYRYHdWrGrxIHZFJ5A,Tangra Asian Fusion Cuisine,3923 Queens Blvd,"{'latitude': 40.74427, 'longitude': -73.92489}",293,3.0,11104,indian
VMSO12sjs6W415PSogC7PA,Paratha Junction,779 Newark Ave,"{'latitude': 40.7352836673254, 'longitude': -74.0638660967438}",179,3.0,07306,indian
P5mFtOSiQmplOj0yVP13PQ,Rasoi Restaurant,810 Newark Ave,"{'latitude': 40.73587, 'longitude': -74.06535}",465,3.5,07306,indian
R7MDZP5G374JA1-kaR2CLw,Raja Sweets & Fast Food,7231 37th Ave,"{'latitude': 40.7489325, 'longitude': -73.8932727}",118,4.0,11372,indian
oZL2RilA-P-PgkMU0AdR-Q,Tandoori Chef,258 Main St,"{'latitude': 40.886348, 'longitude': -74.04149}",245,3.5,07601,indian
NqnCmOlPIJ_QBQzvZ28djA,Sapthagiri Taste Of India,737 Newark Ave,"{'latitude': 40.73512018198014, 'longitude': -74.06250224217419}",472,3.5,07306,indian
BYnd0Kbkrjhz0CGKMF1lqg,Modern Love Brooklyn,317 Union Ave,"{'latitude': 40.70983, 'longitude': -73.95109}",657,4.0,11211,indian
Yj8Tpy8tVf-fpct6_EUIhQ,Burger N Grill,176 Church St,"{'latitude': 40.71561, 'longitude': -74.00762}",7,4.5,10013,indian
BEuZGvNlbM4tXq7YICyM6w,LuAnne's Wild Ginger All-Asian Vegan,380 Broome St,"{'latitude': 40.7204631, 'longitude': -73.9964956}",684,4.0,10013,indian
1TJOTRt9Ws1vHh-zKNZmsw,India Cafe,94-08 Lefferts Blvd,"{'latitude': 40.68235, 'longitude': -73.82226}",72,3.5,11419,indian
ur6C1gaMpi2u-HsAkNgj-g,Aamber Indian Vegan,2636 Broadway,"{'latitude': 40.796973, 'longitude': -73.969689}",2,4.0,10025,indian
VvIzNbkl4PDPzutZdxWCJw,Ittadi Garden & Grill,7307 37th Rd,"{'latitude': 40.7472744, 'longitude': -73.8922265}",71,3.5,11372,indian
VnkARh6a8x7_D8s1NxECYw,Namastey New York,251 McLean Ave,"{'latitude': 40.91151, 'longitude': -73.89044}",2,5.0,10705,indian
jRN12bcaeb2MjJoe2HmuJQ,Dera Masala Grill,741 Broad St,"{'latitude': 40.8696791003385, 'longitude': -74.1687960550189}",90,2.5,07013,indian
aLnt6DwRxlSm8xD9nuEEmA,Mumbai Place,655 Vanderbilt Ave,"{'latitude': 40.677229, 'longitude': -73.968651}",110,4.0,11238,indian
til9hZedX5st86EamUudMA,Maharaja Sweets & Snacks,7310 37th Ave,"{'latitude': 40.74872, 'longitude': -73.89254}",201,3.5,11372,indian
kNzjRlXzL5XJInDqNwfMgA,Mysttik Masaala,32-07 30th Ave,"{'latitude': 40.7665765, 'longitude': -73.9203027}",9,4.5,11103,indian
YAapZoQK_raDPKWI97d8Tg,Tiikkarrito,88 Fulton St,"{'latitude': 40.70912, 'longitude': -74.00578}",1,4.0,10038,indian
oL3NzwNMn-e02cxGwvsPcw,New Shri Sai,133 E 45th St,"{'latitude': 40.7529258728027, 'longitude': -73.9742202758789}",1,4.0,10017,indian
7tJq-a_K-yKOWSqyXVOlFg,Suzy's Roti Parlour,907 Church Ave,"{'latitude': 40.64666, 'longitude': -73.97048}",208,4.5,11218,indian
